"Title","Description","Date","Category","URL"
"Kentucky ex-sheriff's 'frivolous' insanity claim won't fly in judge's suspected murder: former prosecutors","Former Letcher County, Kentucky Sheriff Shawn 'Mickey' Stines is questioned by state police just minutes after District Judge Kevin Mullins was shot and killed. Two former prosecutors say that the insanity defense planned by the defense attorney representing former Letcher County, Kentucky, Sheriff Shawn ""Mickey"" Stines will not hold up. Stines is accused of shooting and killing District Judge Kevin Mullins in the judge's chambers inside the Letcher County Courthouse on Sept. 19, 2024, in an att","2025-05-19","us","https://www.foxnews.com/us/kentucky-ex-sheriffs-frivolous-insanity-claim-wont-fly-judges-suspected-murder-former-prosecutors"
"Connecticut teen to stand trial for prep school athlete's murder that has 'shaken' parents, schools: attorney","Connecticut attorney Mark Sherman discusses the Raul Valle case. Valle is accused of murdering 17-year-old James McGrath at a Shelton house party in 2022. A Connecticut teen will stand trial Monday for the 2022 murder of a Fairfield Prep lacrosse player following a booze-fueled house party and a spat between students from different schools. James McGrath, 17, was fatally stabbed on May 14, 2022, in front of a Shelton home on Laurel Glen Drive after a fight broke out between underage students who","2025-05-19","us","https://www.foxnews.com/us/connecticut-teen-stand-trial-prep-school-athletes-murder-has-shaken-parents-schools-attorney"
"Crew on Mexican Navy tall ship seen clinging to rigging after collision with Brooklyn Bridge, video shows","Crew members of the Mexican navy tall ship Cuauhtémoc dangle from the ship’s rigging after striking the Brooklyn Bridge in New York City on Saturday night. (Credit: Instagram via @Didyouknowsam, X via @sammysparks) Crew members were hanging onto the rigging of the Mexican Navy tall ship that crashed into the Brooklyn Bridge Saturday night, video footage shows. Two sailors were killed and nearly 20 others were injured when the Cuauhtémoc ship struck the bridge at around 8:30 p.m. Saturday night. ","2025-05-19","us","https://www.foxnews.com/us/crew-mexican-navy-tall-ship-seen-clinging-rigging-after-collision-brooklyn-bridge-video-shows"
"Karen Read judge blocks Sandra Birchmore mentions; expert says cases should be wake-up call for police","After flirty text messages surfaced between Karen Read and Brian Higgins, the trial took a shocking turn, raising questions about whether jealousy was a motive for the murder of John O'Keefe. A Massachusetts judge has agreed to bar references to an unrelated, botched murder investigation in Karen Read’s second trial on murder and other charges in the 2022 death of her Boston police officer boyfriend, John O'Keefe. Police in Canton, a suburb about 20 miles south of Boston, inaccurately determined","2025-05-18","us","https://www.foxnews.com/us/karen-read-judge-blocks-sandra-birchmore-mentions-expert-says-cases-should-be-wakeup-call-police"
"Woman confronts cannibal father who murdered her 'second mom' in chilling reunion","Fox News Flash top headlines are here. Check out what's clicking on Foxnews.com. For the first time in four years, Jamie-Lee Arrow was ready to sit face-to-face with her father, the ""Skara Cannibal."" It was October 2024, and the 23-year-old, now a mother to two young children, was hoping to be reunited with the man she knew and loved. ""I had no idea how he would react,"" Arrow told Fox News Digital. ""And I didn’t know how I would react. I couldn’t even imagine what it would feel like. But when I ","2025-05-18","us","https://www.foxnews.com/us/woman-confronts-cannibal-father-who-murdered-her-second-mom-chilling-reunion"
"Bryan Kohberger defense claims 'alternate perpetrators' in Idaho student murders","An attempt by Bryan Kohberger's defense team at pushing ""alternate perpetrators"" is a ""Hail Mary"" attempt, according to former homicide detective Ted Williams. Bryan Kohberger's defense team on Thursday suggested there are ""alternate perpetrators"" and wants to include the theory during the trial. During Thursday's pre-trial hearing, Judge Steven Hippler revealed that Kohberger's defense team made a filing which suggested an alternate suspect. Kohberger is charged with first-degree murder in the ","2025-05-17","us","https://www.foxnews.com/us/bryan-kohberger-defense-claims-alternate-perpetrators-idaho-student-murders"
"Karen Read murder trial: Niece reveals 'frantic' behavior on morning Boston officer was found dead","Karen Read's 2024 interview with Investigation Discovery is played by the prosecution during her murder trial on Wednesday. (Pool) Boston Police Officer John O'Keefe's niece told jurors that his relationship with his suspected killer began to deteriorate in the weeks before his death. O'Keefe, 46, was found dead on Jan. 29, 2022. His then-girlfriend, 45-year-old Karen Read, is currently on trial in connection with his murder. The niece, whose name is not being disclosed because she is a juvenile","2025-05-17","us","https://www.foxnews.com/us/karen-read-murder-trial-niece-reveals-frantic-behavior-morning-boston-officer-found-dead"
"Louisiana governor blasts 'progressive promises' after New Orleans jail escape","Fox News multimedia reporter Caroline Elliott has updates on a jailbreak in New Orleans on 'Fox Report.' While seven escaped prisoners, including two murder suspects, remain at large after a dramatic jailbreak from a New Orleans jail early Friday morning, Louisiana Gov. Jeff Landry ripped the parish's progressive soft-on-crime policies that he claims aided the escape. ""The irony of the progressive promises that have been made to this city is clear. New Orleans handed the jail keys to those who v","2025-05-19","us","https://www.foxnews.com/us/louisiana-governor-blasts-progressive-promises-after-new-orleans-jail-escape"
"Los Angeles business owner blasts 'Baby Shark' on repeat to ward off homeless encampments","Is the California Democrat preparing for a presidential run? A Los Angeles business owner has found a novel way to keep homeless people from camping near his building: playing a children's song on an annoying loop. ""They played 'Baby Shark' all night long,"" Tracy, a woman who lives in an encampment next door to the building at the corner of West 11th and Main streets, told NBC4 Los Angeles. ""They’re doing everything they can to make us move or drive us crazy. But it's doing the latter. It's driv","2025-05-18","us","https://www.foxnews.com/us/los-angeles-business-owner-blasts-baby-shark-repeat-ward-off-homeless-encampments"
"FBI identifies IVF clinic bomber as 'pro-mortalist' who opposed birth without consent","Guy Edward Bartkus, 25, of Twentynine Palms, Calif., has been identified by authorities of setting off a car bomb outside an IVF clinic on Saturday, May 17. The man authorities say is responsible for bombing a reproductive center in Palm Springs, California, on Saturday has been identified as Guy Edward Bartkus. The 25-year-old is from Twentynine Palms, California, authorities said during a news conference Sunday morning. He is described as a ""pro-mortalist,"" the New York Post reported. The car ","2025-05-18","us","https://www.foxnews.com/us/palm-springs-bombing-suspect-identified"
"IN PICTURES: Pope Leo XIV addresses 150,000 faithful in inaugural Mass","Pope Leo XIV, on his popemobile, tours St. Peter's Square at the Vatican prior to the inaugural Mass of his pontificate, Sunday, May 18, 2025. (Andrew Medichini) Pope Leo XIV on his popemobile tours St. Peter's Square at the Vatican prior to the inaugural Mass of his pontificate, Sunday, May 18, 2025. (Domenico Stinellis) Cardinals take their places during the inaugural Mass of Pope Leo XIV's pontificate in St. Peter's Square at the Vatican, on May 18, 2025. (AP Photo/Jacquelyn Martin, Pool) Pop","2025-05-18","us","https://www.foxnews.com/world/in-pictures-pope-leo-xiv-addresses-150000-faithful-inaugural-mass"
"Pope Leo XIV vows to work for unity, peace during inaugural mass","Pope Leo XIV held his inaugural Mass in the Vatican's St Peter's Square on Sunday. (Video: REUTERS / VATICAN MEDIA / US NETWORK POOL.) Pope Leo XIV spoke of unity and those suffering due to war during his inaugural mass in St. Peter's Square. The 69-year-old Augustinian missionary, who is the first American pope, spoke before 200,000 people on Sunday, Vatican News said. ""I would like that our first great desire be for a united church, a sign of unity and communion, which becomes a leaven for a r","2025-05-18","us","https://www.foxnews.com/world/pope-leo-xiv-vows-work-unity-peace-during-inaugural-mass"
"At least 2 dead after Mexican navy sailing ship collides with Brooklyn Bridge in dramatic NYC crash","Masts on the Mexican sail training vessel Cuauhtémoc are caught on camera crashing against the Brooklyn Bridge in New York City late Saturday. (Credit: @TheWillieNelson via X) A naval training ship donning a massive Mexican flag crashed into the Brooklyn Bridge in New York City on Saturday night, killing at least two people. Videos posted to social media appear to show the mast of the ship crashing into the bridge just before 8:30 p.m., as passengers and nearby onlookers screamed, prompting an i","2025-05-17","us","https://www.foxnews.com/us/massive-sailing-vessel-collides-brooklyn-bridge-dramatic-nyc-crash-caught-camera"
"America's largest remaining antebellum mansion burns down in devastating fire","Fox News Flash top headlines are here. Check out what's clicking on Foxnews.com. Historic Nottoway Plantation, the largest antebellum mansion in the U.S., burned to the ground this week after a fire broke out on Thursday. There have been no reports of injuries or deaths connected to the fire. Fire crews worked to extinguish the flames with water reportedly being poured onto the rubble as long as 18 hours after the fire started, according to Fox 8. As of Saturday, the cause of the fire was still ","2025-05-17","us","https://www.foxnews.com/us/americas-largest-remaining-antebellum-mansion-burns-down-devastating-fire"
"Man who stabbed author Salman Rushdie sentenced to 25 years in prison","Fox News Flash top headlines are here. Check out what's clicking on Foxnews.com. A man convicted of stabbing award-winning British author Salman Rushdie in 2022 was sentenced on Friday to 25 years in prison, the maximum possible term. Hadi Matar, 27, was found guilty in February of attempted murder and assault in connection to the knife attack that left Rushdie blind in one eye. Rusdie, 77, was stabbed on stage at the Chautauqua Institution before a lecture and airlifted to a hospital in northwe","2025-05-16","us","https://www.foxnews.com/us/man-who-stabbed-author-salman-rushdie-sentenced-25-years-prison"
"Missing Georgia camper 'miraculously found alive' after disappearing for weeks in California wilderness","Missing Georgia hiker found alive in California weeks after being reported missing. (Fresno County Sheriff's Office) A missing Georgia camper was ""miraculously found alive"" in California's Sierra Nevada after disappearing weeks ago, police say. Tiffany Slaton, a 27-year-old from Jefferson, was discovered Wednesday after the owner of the Vermilion Valley Resort near Lake Edison in Fresno County, California, was conducting a property check and ""found one of his cabins was occupied by a woman,"" acc","2025-05-16","us","https://www.foxnews.com/us/missing-georgia-camper-miraculously-found-alive-after-disappearing-weeks-california-wilderness"
"CBP officers seize $875K in marijuana disguised as a shipment of men's overalls","A viral video circulating the web shows the crew of the Coast Guard Cutter Kimball dramatically stopping suspected drug traffickers in their tracks during an open-ocean interdiction in April. U.S. Customs and Border Protection officers in Baltimore seized $875,000 in marijuana after it was discovered in a shipment disguised as men's overalls. Officers found more than 200 pounds of the psychoactive drug concealed inside 155 vacuum-sealed packages April 29, according to a press release from CBP. T","2025-05-15","us","https://www.foxnews.com/us/cbp-officers-seize-875k-worth-marijuana-disguised-shipment-mens-overalls"
"Kentucky ex-sheriff's 'frivolous' insanity claim won't fly in judge's suspected murder: former prosecutors","Former Letcher County, Kentucky Sheriff Shawn 'Mickey' Stines is questioned by state police just minutes after District Judge Kevin Mullins was shot and killed. Two former prosecutors say that the insanity defense planned by the defense attorney representing former Letcher County, Kentucky, Sheriff Shawn ""Mickey"" Stines will not hold up. Stines is accused of shooting and killing District Judge Kevin Mullins in the judge's chambers inside the Letcher County Courthouse on Sept. 19, 2024, in an att","2025-05-19","us","https://www.foxnews.com/us/kentucky-ex-sheriffs-frivolous-insanity-claim-wont-fly-judges-suspected-murder-former-prosecutors"
"Connecticut teen to stand trial for prep school athlete's murder that has 'shaken' parents, schools: attorney","Connecticut attorney Mark Sherman discusses the Raul Valle case. Valle is accused of murdering 17-year-old James McGrath at a Shelton house party in 2022. A Connecticut teen will stand trial Monday for the 2022 murder of a Fairfield Prep lacrosse player following a booze-fueled house party and a spat between students from different schools. James McGrath, 17, was fatally stabbed on May 14, 2022, in front of a Shelton home on Laurel Glen Drive after a fight broke out between underage students who","2025-05-19","us","https://www.foxnews.com/us/connecticut-teen-stand-trial-prep-school-athletes-murder-has-shaken-parents-schools-attorney"
